loc_name,loc_desc,chemical_name,result_numeric,sample_date,ppt_unit,zipcode,city,county,method_detection_limit,loc_purpose,loc_type,remark_1
CO0118076,STONEGATE MD,Perfluorodecanoic acid (PFDA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorohexanoic acid (PFHxA),3.3,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorobutanesulfonic acid (PFBS),1.5,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorohexanesulfonic acid (PFHxS),1.1,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorotridecanoic acid (PFTriA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorononanoic acid (PFNA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluoroheptanoic acid (PFHpA),0.81,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorotetradecanoic (PFTeA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Hexafluoropropylene oxide dimer acid,0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluoroundecanoic acid (PFUnA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorohexanoic acid (PFHxA),6.5,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorododecanoic acid (PFDoA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorooctanoic acid (PFOA),4.2,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorodecanoic acid (PFDA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorohexanesulfonic acid (PFHxS),4.9,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorobutanesulfonic acid (PFBS),3.5,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluoroheptanoic acid (PFHpA),1.8,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorononanoic acid (PFNA),0.71,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorotetradecanoic (PFTeA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorotridecanoic acid (PFTriA),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Perfluorooctanesulfonic acid (PFOS),5.3,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,Total PFAS,26.91,4/29/2020,ppt,80601,BRIGHTON,ADAMS,,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,4/29/2020,ppt,80601,BRIGHTON,ADAMS,0.43,PWS,EP,Public Water System
CO0101157,TODD CREEK VILLAGE MD,"PFOS and PFOA, Total Combined",9.5,4/29/2020,ppt,80601,BRIGHTON,ADAMS,,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,"PFOS and PFOA, Total Combined",0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorotridecanoic acid (PFTriA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorotetradecanoic (PFTeA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorononanoic acid (PFNA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluoroheptanoic acid (PFHpA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorohexanesulfonic acid (PFHxS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorodecanoic acid (PFDA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorooctanoic acid (PFOA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorohexanoic acid (PFHxA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluoroundecanoic acid (PFUnA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Hexafluoropropylene oxide dimer acid,0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Total PFAS,0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorobutanesulfonic acid (PFBS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorododecanoic acid (PFDoA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorooctanesulfonic acid (PFOS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.48,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.46,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Total PFAS,0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorononanoic acid (PFNA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.46,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,"PFOS and PFOA, Total Combined",0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.46,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.46,PWS,EP,Public Water System
CO0121700,RED ROCK VALLEY WD,Perfluorotridecanoic acid (PFTriA),0,3/17/2020,ppt,80926,COLORADO SPRINGS,EL PASO,0.46,PWS,EP,Public Water System
