cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1981,Park,27,6020.5,448.4677352,765.8571538,28894.72395
All Causes,1981,Phillips,45,4540.55,991.0693638,714.596764,11299.25123
All Causes,1981,Pitkin,33,9969.54,331.0082511,799.6034251,38021.33108
All Causes,1981,Prowers,122,13137.55,928.6358568,980.1139955,7586.178825
All Causes,1981,Pueblo,1049,124842.72,840.2572453,950.1811119,840.6273504
All Causes,1981,Rio Blanco,40,6931.49,577.0765016,1004.941258,27126.87403
All Causes,1981,Rio Grande,92,10901.5,843.9205614,837.3599219,7398.341476
All Causes,1981,Routt,49,13518.52,362.4657137,795.870907,14499.4928
All Causes,1981,Saguache,26,4151.47,626.2841837,771.3632808,21100.24496
All Causes,1981,San Juan,5,1021.84,489.3133954,813.0875426,129203.6771
All Causes,1981,San Miguel,11,3213.53,342.3027014,664.4199857,38948.36987
All Causes,1981,Sedgwick,34,3262.51,1042.1424,865.6525946,21663.82229
All Causes,1981,Summit,28,9280.63,301.7036559,700.4838648,48268.37296
All Causes,1981,Teller,43,8680.5,495.3631703,799.4261294,17221.98616
All Causes,1981,Washington,65,5262.48,1235.159089,1115.477864,18007.42676
All Causes,1981,Weld,779,124072.77,627.8573453,874.2024766,964.8538166
All Causes,1981,Yuma,121,9798.55,1234.876589,1061.543518,8741.577258
All Causes,1981,Unknown,,,,,
All Causes,1982,Colorado,19638,3064909.78,640.7366419,924.6427139,42.69725712
All Causes,1982,Adams,1316,260181.83,505.8001168,933.3736091,740.2718161
All Causes,1982,Alamosa,85,12303.55,690.8575167,982.7889947,10911.0273
All Causes,1982,Arapahoe,1466,334955.38,437.6702354,946.2514724,691.9763502
All Causes,1982,Archuleta,32,4241.53,754.4447405,1102.26603,38999.05926
All Causes,1982,Baca,48,5375.51,892.9385305,856.0677791,14609.69897
All Causes,1982,Bent,57,5812.49,980.6468484,862.948259,13091.03249
All Causes,1982,Boulder,995,200222.92,496.9461039,846.3598326,709.79355
All Causes,1982,Broomfield,,,,,
All Causes,1982,Chaffee,107,13462.51,794.799781,908.4300483,7511.983946
All Causes,1982,Cheyenne,20,2287.73,874.2290393,932.8776179,45400.74004
All Causes,1982,Clear Creek,47,7466.55,629.4741213,1259.579045,33012.09521
All Causes,1982,Conejos,51,7758.51,657.3427114,784.2834962,11887.0372
All Causes,1982,Costilla,21,3170.7,662.3143155,685.3241511,22927.58757
All Causes,1982,Crowley,39,2954.5,1320.020308,936.5723653,22450.20504
All Causes,1982,Custer,18,1666.53,1080.088567,1137.892054,71033.57339
All Causes,1982,Delta,209,23478.53,890.1749811,734.8195549,2511.814519
All Causes,1982,Denver,4474,498423.19,897.6307864,955.2156025,198.9446619
All Causes,1982,Dolores,19,1728.56,1099.180821,1265.02283,84759.84782
All Causes,1982,Douglas,105,29972.55,350.3205433,867.9025822,7684.668913
All Causes,1982,Eagle,46,15423.49,298.2463761,771.5017358,22691.87825
All Causes,1982,Elbert,48,7545.47,636.1432754,924.5289941,16743.33002
All Causes,1982,El Paso,1771,331784.81,533.779711,905.0814409,475.0241066
All Causes,1982,Fremont,406,30388.54,1336.029964,1081.63953,2773.795486
All Causes,1982,Garfield,140,29074.52,481.5212771,810.622474,4675.71331
All Causes,1982,Gilpin,19,2821.66,673.3624888,1026.080466,61428.9865
All Causes,1982,Grand,43,8161.5,526.8639343,1190.680372,47451.60752
All Causes,1982,Gunnison,45,10664.5,421.9607108,1033.661924,22640.31227
All Causes,1982,Hinsdale,,524.17,,,
All Causes,1982,Huerfano,94,6568.54,1431.063829,1101.252156,12371.7104
All Causes,1982,Jackson,11,2103.64,522.9031583,779.6350631,56679.15745
All Causes,1982,Jefferson,2002,398741.24,502.0799955,952.5255222,479.3118269
All Causes,1982,Kiowa,20,1975.06,1012.627465,825.0445978,35393.91113
All Causes,1982,Kit Carson,60,7615.53,787.8637468,768.3346213,9296.553908
All Causes,1982,Lake,35,8472.63,413.0948714,1044.807912,42207.95679
All Causes,1982,La Plata,191,29774.54,641.4876603,985.7254217,4888.331408
All Causes,1982,Larimer,879,158764.82,553.6491019,806.5459118,719.4600028
All Causes,1982,Las Animas,173,15205.53,1137.743966,908.6370348,4723.230193
All Causes,1982,Lincoln,66,4540.5,1453.584407,1042.332907,15607.66594
All Causes,1982,Logan,162,19694.54,822.5630048,836.8443958,4208.943838
All Causes,1982,Mesa,724,93876.71,771.2243005,995.7946121,1320.663373
All Causes,1982,Mineral,3,910.02,329.6630843,287.6767696,27868.86087
All Causes,1982,Moffat,68,14932.53,455.38164,832.3975239,11203.49313
All Causes,1982,Montezuma,140,18595.56,752.8678889,1065.24431,7913.559695
All Causes,1982,Montrose,206,25290.56,814.5331697,910.1115573,3852.891184
All Causes,1982,Morgan,229,22745.57,1006.789454,1028.386625,4412.672208
All Causes,1982,Otero,262,22400.56,1169.613617,1075.465407,4308.931934
